Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
400.0,93.0,0.8,0.74,114.0,7.000000000000001e-05,0.06,8e-06,0.408730149269104
90.0,189.0,0.002,0.13,254.0,6.000000000000002e-05,0.78,5e-06,0.5015873312950134
8.0,218.0,2e-05,0.68,6.0,0.002,0.1,0.002,0.40317460894584656
20.0,181.0,7.000000000000001e-05,0.42,183.0,0.006999999999999999,0.65,9e-06,0.49841269850730896
300.0,218.0,0.001,0.23,197.0,0.004,0.17,0.02,0.4412698447704315
4.0,148.0,0.006,0.28,156.0,6.000000000000002e-05,0.08,0.7000000000000001,0.24761904776096344
40.0,129.0,0.001,0.44,55.0,0.08,0.47,0.0005,0.49841269850730896
6.0,158.0,0.07,0.58,134.0,0.006,0.55,0.006999999999999999,0.4126984179019928
90.0,47.0,0.001,0.34,189.0,0.0,0.59,0.0008,0.4730158746242523
8.0,254.0,1e-05,0.5,64.0,8e-05,0.35,0.4,0.41428571939468384
200.0,229.0,0.05,0.34,12.0,0.0005,0.65,0.30000000000000004,0.4126984179019928
100.0,240.0,0.0004,0.09,9.0,0.0002,0.44,0.01,0.43492063879966736
